название,описание,цена,картинка
Ноутбук HP 15-dw3014ne Intel Core i5-1135G7 20GB DDR4 256GB SSD NVIDIA MX350 FHD DOS Silver,"



        Операционная система DOS; процессор Intel Core i5-1135G7 (4/8) 2400-4200 MHz; оперативная память 20GB DDR4; накопитель 256GB SSD; экран 15.6"" TN 1920x1080; видеоадаптер NVIDIA MX350            ",64890 сом,https://www.kivano.kg/images/product/108144/1656497019_84669900.jpg
Ноутбук Asus Vivobook X515F Intel Core i3-10110U 8GB DDR4 512GB SSD DOS Transparent Silver,"



        Операционная система DOS; процессор Intel Core i3-10110U (2/4) 2100-4100 MHz; оперативная память 8GB DDR4; накопитель 512GB SSD; экран 15.6"" TN 1366x768; видеоадаптер Intel Graphics
             ",38000 сом,https://www.kivano.kg/images/product/108656/1657776052_87560800.jpg
Ноутбук Asus X540UB Intel Core i3-7020U 12Gb DDR 128Gb SSD Nvidia Geforce MX110 2GB Full HD Silver,"



        Тип: ноутбук; Процессор: Intel Core i3-7020U; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Nvidia Geforce MX110 2Gb; Объем оперативной памяти: 12 Gb DDR; Объем накопителя SSD: 128Gb; Вес 1,9 кг            ",45280 сом,https://www.kivano.kg/images/product/76401/1622345585_38828200.png
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i3-1005G1 8GB DDR 1000GB HDD Intel HD Graphics 620 FHD синий,"



        Тип: ноутбук; Процессор: Intel Core i3-1005G1; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Intel HD Graphics 620; Объем оперативной памяти: 8 Gb DDR; Объем накопителя HDD: 1000 Gb; Вес: от 1.8 кг            ",45280 сом,https://www.kivano.kg/images/product/88177/1620931333_44131000.png
Ноутбук Acer Aspire A315-56 Intel Core i3-1005G1 8GB DDR4 500GB HDD + 128GB SSD DOS Black,"



        Операционная система DOS; 2х-ядерный процессор 1.2 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" TN 1366х768; объем оперативной памяти 8 Гб; накопитель HDD 500 Гб + SSD 128 Гб; DVDRW нет; вес...            ",45020 сом,https://www.kivano.kg/images/product/90993/1618495915_81379500.jpg
Ноутбук Lenovo Ideapad L3-15ITL6 Intel Core i3-1115G4 4GB DDR4 500GB HDD + 256GB SSD FHD DOS Platinum Gray,"



        Операционная система DOS; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 4 GB DDR4; накопитель 500 GB HDD + 256 GB SSD; экран 15.6"" IPS 1920x1080; видеоадаптер Intel Graphics            ",42910 сом,https://www.kivano.kg/images/product/105841/1651062807_57906300.jpg
Ноутбук HP 15-dw3014ne Intel Core i5-1135G7 8GB DDR4 512GB SSD NVIDIA MX350 FHD DOS Silver,"



        Операционная система DOS; процессор Intel Core i5-1135G7 (4/8) 2400-4200 MHz; оперативная память 8GB DDR4; накопитель 512GB SSD; экран 15.6"" TN 1920x1080; видеоадаптер NVIDIA MX350            ",61390 сом,https://www.kivano.kg/images/product/108145/1656497366_73700000.jpg
Ноутбук Asus Vivobook X515F Intel Core i3-10110U 4GB DDR4 512GB SSD DOS Transparent Silver,"



        Операционная система DOS; процессор Intel Core i3-10110U (2/4) 2100-4100 MHz; оперативная память 4GB DDR4; накопитель 512GB SSD; экран 15.6"" TN 1366x768; видеоадаптер Intel Graphics
             ",36250 сом,https://www.kivano.kg/images/product/108657/1657776169_93847600.jpg
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i3-1005G1 8GB DDR 1000GB HDD + 128GB SSD Intel HD Graphics 620 FHD синий,"



        Тип: ноутбук; Процессор: Intel Core i3-1005G1; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Intel HD Graphics 620; Объем оперативной памяти: 8 Gb DDR; Объем накопителя HDD: 1000 Gb; Объем накопителя SSD: 128 Gb; Вес: от 1.8...            ",47470 сом,https://www.kivano.kg/images/product/88178/1620931257_09158400.png
Ноутбук Acer Aspire A315-56 Intel Core i3-1005G1 12GB DDR4 500GB HDD + 128GB SSD DOS Black,"



        Операционная система DOS; 2х-ядерный процессор 1.2 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" TN 1366х768; объем оперативной памяти 12 Гб; накопитель HDD 500 Гб + SSD 128 Гб; DVDRW нет; вес...            ",47910 сом,https://www.kivano.kg/images/product/90994/1618495957_91234100.jpg
Ноутбук Lenovo Ideapad L3-15ITL6 Intel Core i3-1115G4 8GB DDR4 500GB HDD + 256GB SSD FHD DOS Platinum Gray,"



        Операционная система DOS; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 8 GB DDR4; накопитель 500 GB HDD + 256 GB SSD; экран 15.6"" IPS 1920x1080; видеоадаптер Intel Graphics            ",44240 сом,https://www.kivano.kg/images/product/105842/1651062824_62359100.jpg
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i3-1005G1 8GB DDR 1000GB HDD + 256GB SSD Intel HD Graphics 620 FHD синий,"



        Тип: ноутбук; Процессор: Intel Core i3-1005G1; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Intel HD Graphics 620; Объем оперативной памяти: 8 Gb DDR; Объем накопителя HDD: 1000 Gb; Объем накопителя SSD: 256 Gb; Вес: от 1.8...            ",48350 сом,https://www.kivano.kg/images/product/88179/1620931191_18376400.png
Ноутбук Acer Aspire A315-56 Intel Core i3-1005G1 4GB DDR4 500GB HDD + 256GB SSD DOS Black,"



        Операционная система DOS; 2х-ядерный процессор 1.2 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" TN 1366х768; объем оперативной памяти 4 Гб; накопитель HDD 500 Гб + SSD 256 Гб; DVDRW нет; вес...            ",44580 сом,https://www.kivano.kg/images/product/90995/1618495995_96351700.jpg
Ноутбук Lenovo V14-IGL Intel Celeron N4020 4GB DDR 240GB SSD Intel UHD Graphics 600 HD DOS серый,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Celeron N4020; Разрешение экрана: 1366х768 HD; Графический контроллер: Intel HD Graphics 600; Объем оперативной памяти: 4 GB DDR; Объем накопителя SSD: 240 GB; Вес: от 1.6 кг            ",25870 сом,https://www.kivano.kg/images/product/101747/1640324284_46622900.png
Ноутбук Lenovo Ideapad L3-15ITL6 Intel Core i3-1115G4 12GB DDR4 500GB HDD + 256GB SSD FHD DOS Platinum Gray,"



        Операционная система DOS; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 12 GB DDR4; накопитель 500 GB HDD + 256 GB SSD; экран 15.6"" IPS 1920x1080; видеоадаптер Intel Graphics            ",45980 сом,https://www.kivano.kg/images/product/105843/1651062842_49605000.jpg
Ноутбук HP 15-dw3014ne Intel Core i5-1135G7 16GB DDR4 512GB SSD NVIDIA MX350 FHD DOS Silver,"



        Операционная система DOS; процессор Intel Core i5-1135G7 (4/8) 2400-4200 MHz; оперативная память 16GB DDR4; накопитель 512GB SSD; экран 15.6"" TN 1920x1080; видеоадаптер NVIDIA MX350            ",64890 сом,https://www.kivano.kg/images/product/108147/1656498157_22470400.jpg
Ноутбук Lenovo Ideapad IP3 15IGL05 Intel Celeron N4020 4GB DDR 120GB SSD Intel HD Graphics FHD DOS Black,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Celeron N4020; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Intel Graphics; Объем оперативной памяти: 4 Gb DDR4; Объем накопителя SSD: 120 Gb; Вес: от 2.2 кг            ",24370 сом,https://www.kivano.kg/images/product/108403/1657098187_16384000.jpeg
Ноутбук HP 17z-cp000 AMD Ryzen 3 5300U 8GB DDR4 1000GB HDD + 128GB SSD FHD W11 Black,"



        Операционная система Windows 11; процессор AMD Ryzen 3 5300U (4/8) 2600-3800 MHz; оперативная память 8GB DDR4; накопитель 1000GB HDD + 128GB SSD; экран 17.3"" IPS 1920x1080; видеоадаптер Radeon Graphics            ",55880 сом,https://www.kivano.kg/images/product/108659/1657780221_93185100.png
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i3-1005G1 8GB DDR 1000GB HDD + 512GB SSD Intel HD Graphics 620 FHD синий,"



        Тип: ноутбук; Процессор: Intel Core i3-1005G1; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Intel HD Graphics 620; Объем оперативной памяти: 8 Gb DDR; Объем накопителя HDD: 1000 Gb; Объем накопителя SSD: 512 Gb; Вес: от 1.8...            ",51410 сом,https://www.kivano.kg/images/product/88180/1620931122_74303200.png
Ноутбук Acer Aspire A315-56 Intel Core i3-1005G1 8GB DDR4 500GB HDD + 256GB SSD DOS Black,"



        Операционная система DOS; 2х-ядерный процессор 1.2 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" TN 1366х768; объем оперативной памяти 8 Гб; накопитель HDD 500 Гб + SSD 256 Гб; DVDRW нет; вес...            ",46870 сом,https://www.kivano.kg/images/product/90996/1618496035_82914400.jpg
Ноутбук HP 15-dw3014ne Intel Core i5-1135G7 20GB DDR4 512GB SSD NVIDIA MX350 FHD DOS Silver,"



        Операционная система DOS; процессор Intel Core i5-1135G7 (4/8) 2400-4200 MHz; оперативная память 20GB DDR4; накопитель 512GB SSD; экран 15.6"" TN 1920x1080; видеоадаптер NVIDIA MX350            ",67520 сом,https://www.kivano.kg/images/product/108148/1656498371_19935000.jpg
Ноутбук Lenovo Ideapad IP3 15IGL05 Intel Celeron N4020 4GB DDR 256GB SSD Intel HD Graphics FHD DOS Black,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Celeron N4020; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Intel Graphics; Объем оперативной памяти: 4 Gb DDR4; Объем накопителя SSD: 256 Gb; Вес: от 2.2 кг            ",25250 сом,https://www.kivano.kg/images/product/108404/1657098451_98106400.jpeg
Ноутбук HP 17z-cp000 AMD Ryzen 3 5300U 8GB DDR4 128GB SSD W11 Black,"



        Операционная система Windows 11; процессор AMD Ryzen 3 5300U (4/8) 2600-3800 MHz; оперативная память 8GB DDR4; накопитель 128GB SSD; экран 17.3"" TN 1600x900; видеоадаптер Radeon Graphics
             ",50710 сом,https://www.kivano.kg/images/product/108660/1657780487_44714200.png
Ноутбук Asus X540UB Intel Core i3-7020U 6Gb DDR 1000Gb HDD Nvidia Geforce MX110 2GB Full HD Silver,"



        Тип: ноутбук; Процессор: Intel Core i3-7020U; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Nvidia Geforce MX110 2Gb; Объем оперативной памяти: 6 Gb DDR; Объем накопителя HDD : 1000 Gb; Вес 1,9 кг            ",39580 сом,https://www.kivano.kg/images/product/75637/1622346252_19482300.png
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i3-1005G1 12GB DDR 256GB SSD Intel HD Graphics 620 FHD синий,"



        Тип: ноутбук; Процессор: Intel Core i3-1005G1; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Intel HD Graphics 620; Объем оперативной памяти: 12 Gb DDR; Объем накопителя SSD: 256 Gb; Вес: от 1.8 кг            ",46160 сом,https://www.kivano.kg/images/product/88181/1620931057_24535500.png
Ноутбук Acer Aspire A315-56 Intel Core i3-1005G1 12GB DDR4 500GB HDD + 256GB SSD DOS Black,"



        Операционная система DOS; 2х-ядерный процессор 1.2 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" TN 1366х768; объем оперативной памяти 12 Гб; накопитель HDD 500 Гб + SSD 256 Гб; DVDRW нет; вес...            ",49490 сом,https://www.kivano.kg/images/product/90997/1618496079_00758400.jpg
Ноутбук Lenovo IdeaPad L340-15API AMD Athlon 300U 4GB DDR4 1000GB HDD DOS Black,"



        Операционная система DOS; процессор AMD Athlon (2/4) 2400 MHz; видеоадаптер Radeon Vega 3; экран 15.6"" TN 1366x768; оперативная память 4 GB DDR4; накопитель HDD 1000 GB; DVDRW нет; вес от...            ",32650 сом,https://www.kivano.kg/images/product/96885/1630145383_54965200.png
Ноутбук Acer Aspire A315-34-P351 Intel Pentium N5030 4GB DDR4 500GB HDD DOS Black,"



        Операционная система DOS; процессор Intel Pentium (4/4) 1100 - 3100 MHz; видеоадаптер Intel Graphics; экран 15.6"" TN 1366x768; оперативная память 4 GB DDR4; накопитель HDD 500 GB; DVDRW нет; вес...            ",28950 сом,https://www.kivano.kg/images/product/99701/1635340240_30768500.jpg
Ноутбук Lenovo Ideapad IP3 15IGL05 Intel Celeron N4020 4GB DDR 512GB SSD Intel HD Graphics FHD DOS Black,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Celeron N4020; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Intel Graphics; Объем оперативной памяти: 4 Gb DDR4; Объем накопителя SSD: 512 Gb; Вес: от 2.2 кг            ",27100 сом,https://www.kivano.kg/images/product/108405/1657098566_92305800.jpeg
Ноутбук HP 17z-cp000 AMD Ryzen 3 5300U 8GB DDR4 128GB SSD W11 White,"



        Операционная система Windows 11; процессор AMD Ryzen 3 5300U (4/8) 2600-3800 MHz; оперативная память 8GB DDR4; накопитель 128GB SSD; экран 17.3"" TN 1600x900; видеоадаптер Radeon Graphics            ",49750 сом,https://www.kivano.kg/images/product/108661/1657780682_85930700.png
Ноутбук Asus X540UB Intel Core i3-7020U 6Gb DDR 500Gb HDD Nvidia Geforce MX110 2GB Full HD Silver,"



        Тип: ноутбук; Процессор: Intel Core i3-7020U; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Nvidia Geforce MX110 2Gb; Объем оперативной памяти: 6 Gb DDR; Объем накопителя HDD : 500Gb; Вес 1,9 кг            ",39230 сом,https://www.kivano.kg/images/product/75638/1622346165_93532300.png
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i3-1005G1 12GB DDR 512GB SSD Intel HD Graphics 620 FHD синий,"



        Тип: ноутбук; Процессор: Intel Core i3-1005G1; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Intel HD Graphics 620; Объем оперативной памяти: 12 Gb DDR; Объем накопителя SSD: 512 Gb; Вес: от 1.8 кг            ",49220 сом,https://www.kivano.kg/images/product/88182/1620930981_26249700.png
Ноутбук Acer Aspire A315-56 Intel Core i3-1005G1 12GB DDR4 1000GB HDD + 128GB SSD DOS Black,"



        Операционная система DOS; 2х-ядерный процессор 1.2 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" TN 1366х768; объем оперативной памяти 12 Гб; накопитель HDD 1000 Гб + SSD 128 Гб; DVDRW нет; вес...            ",45460 сом,https://www.kivano.kg/images/product/90998/1618496129_84622600.jpg
Ноутбук Lenovo IdeaPad L340-15API AMD Athlon 300U 4GB DDR4 120GB SSD DOS Black,"



        Операционная система DOS; процессор AMD Athlon (2/4) 2400 MHz; видеоадаптер Radeon Vega 3; экран 15.6"" TN 1366x768; оперативная память 4 GB DDR4; накопитель SSD 120 GB; DVDRW нет; вес от...            ",32380 сом,https://www.kivano.kg/images/product/96886/1630145408_97407000.png
Ноутбук Acer Aspire A315-34-P351 Intel Pentium N5030 4GB DDR4 120GB SSD DOS Black,"



        Операционная система DOS; процессор Intel Pentium (4/4) 1100 - 3100 MHz; видеоадаптер Intel Graphics; экран 15.6"" TN 1366x768; оперативная память 4 GB DDR4; накопитель SSD 120 GB; DVDRW нет; вес...            ",28950 сом,https://www.kivano.kg/images/product/99702/1635340255_30426600.jpg
Ноутбук Lenovo IdeaPad L3 A41TUN AMD Athlon 300U 4GB DDR 1000GB HDD AMD Radeon Vega 3 FHD DOS черный ,"



        Тип: ноутбук; Операционная система: DOS; Процессор: AMD Athlon 300U; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: AMD Radeon Vega 3; Объем оперативной памяти: 4 GB DDR4; Объем накопителя HDD: 1000 GB; Вес: от 2.8 кг            ",31150 сом,https://www.kivano.kg/images/product/100214/1636696989_21469300.png
Ноутбук Asus X540UB Intel Core i3-7020U 6Gb DDR 128Gb SSD Nvidia Geforce MX110 2GB Full HD Silver,"



        Тип: ноутбук; Процессор: Intel Core i3-7020U; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Nvidia Geforce MX110 2Gb; Объем оперативной памяти: 6 Gb DDR; Объем накопителя SSD: 128Gb; Вес 1,9 кг            ",40110 сом,https://www.kivano.kg/images/product/75639/1622346082_28168900.png
Ноутбук Acer Aspire A315-56 Intel Core i3-1005G1 4GB DDR4 1000GB HDD + 256GB SSD DOS Black,"



        Операционная система DOS; 2х-ядерный процессор 1.2 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" TN 1366х768; объем оперативной памяти 4 Гб; накопитель HDD 1000 Гб + SSD 256 Гб; DVDRW нет; вес...            ",44760 сом,https://www.kivano.kg/images/product/90999/1618496166_91168800.jpg
Ноутбук HP 15s-eq1136ur 22P99EA#ACB AMD Athlon Silver 3050U 4GB DDR 256GB SSD AMD Radeon Graphics FHD DOS серый,"



        Тип: ноутбук; Операционная система: DOS; Процессор: AMD Athlon Silver 3050U; Разрешение экрана: 1920x1080 FHD; Графический контроллер: AMD Radeon Graphics; Объем оперативной памяти: 4 Gb DDR; Объем накопителя SSD: 256 Gb; Вес: от 1.69 кг            ",35810 сом,https://www.kivano.kg/images/product/94839/1625033672_57367200.jpg
Ноутбук Acer Aspire A315-34-P351 Intel Pentium N5030 4GB DDR4 240GB SSD DOS Black,"



        Операционная система DOS; процессор Intel Pentium (4/4) 1100 - 3100 MHz; видеоадаптер Intel Graphics; экран 15.6"" TN 1366x768; оперативная память 4 GB DDR4; накопитель SSD 240 GB; DVDRW нет; вес...            ",29830 сом,https://www.kivano.kg/images/product/99703/1635340267_87532000.jpg
Ноутбук Lenovo IdeaPad L3 A41TUN AMD Athlon 300U 4GB DDR 500GB HDD AMD Radeon Vega 3 FHD DOS черный,"



        Тип: ноутбук; Операционная система: DOS; Процессор: AMD Athlon 300U; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: AMD Radeon Vega 3; Объем оперативной памяти: 4 GB DDR4; Объем накопителя HDD: 500 GB; Вес: от 2.8 кг            ",30890 сом,https://www.kivano.kg/images/product/100215/1636699010_97303700.png
Ноутбук Lenovo IP3 Gaming 15IHU6 Intel Core i5-11300H 16GB DDR4 1000GB HDD + 128GB SSD NVIDIA RTX3050 FHD DOS Shadow Black,"



        Операционная система DOS; процессор Intel Core i5-11300H (4/8) 3100-4400 MHz; оперативная память 16 GB DDR4; накопитель 1000 GB HDD + 128 GB SSD; экран 15.6"" IPS 1920x1080; видеоадаптер NVIDIA RTX...            ",83930 сом,https://www.kivano.kg/images/product/106615/1652860832_72546700.jpg
Ноутбук Lenovo Ideapad IP3 15IGL05 Intel Celeron N4020 4GB DDR 1000GB HDD + 256GB SSD Intel HD Graphics FHD DOS Black,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Celeron N4020; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Intel Graphics; Объем оперативной памяти: 4 Gb DDR4; Объем накопителя HDD: 1000 Gb; Объем накопителя SSD: 256 Gb; Вес: от 2.2...            ",26220 сом,https://www.kivano.kg/images/product/108407/1657099159_97860200.jpeg
Ноутбук HP 17z-cp000 AMD Ryzen 7 5700U 12GB DDR4 128GB SSD W11 Blue,"



        Операционная система Windows 11; процессор AMD Ryzen 7 5700U (8/16) 1800-4300 MHz; оперативная память 12GB DDR4; накопитель 128GB SSD; экран 17.3"" TN 1600x900; видеоадаптер Radeon Graphics            ",66110 сом,https://www.kivano.kg/images/product/108663/1657781036_72595300.png
Ноутбук Asus X540UB Intel Core i3-7020U 6Gb DDR 240Gb SSD Nvidia Geforce MX110 2GB Full HD Silver,"



        Тип: ноутбук; Процессор: Intel Core i3-7020U; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Nvidia Geforce MX110 2Gb; Объем оперативной памяти: 6 Gb DDR; Объем накопителя SSD: 240 Gb; Вес 1,9 кг            ",40900 сом,https://www.kivano.kg/images/product/75640/1622345995_14890300.png
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i3-1005G1 12GB DDR 1000GB HDD + 128GB SSD Intel HD Graphics 620 FHD синий,"



        Тип: ноутбук; Процессор: Intel Core i3-1005G1; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Intel HD Graphics 620; Объем оперативной памяти: 12 Gb DDR; Объем накопителя HDD: 1000 Gb; Объем накопителя SSD: 128 Gb; Вес: от 1.8 кг            ",49660 сом,https://www.kivano.kg/images/product/88184/1620930843_95118200.png
Ноутбук Lenovo V14 Gen 2 AMD Ryzen 7 5700U 8GB DDR 512GB SSD AMD Radeon Graphics 8 FHD DOS черный,"



        Тип: ноутбук; Операционная система: DOS; Процессор: AMD Ryzen 7 5700U; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: AMD Radeon Graphics 8; Объем оперативной памяти: 8 GB DDR; Объем накопителя SSD: 512 GB; Вес: от 1.6 кг            ",66110 сом,https://www.kivano.kg/images/product/99960/1636086596_54679700.jpg
Ноутбук Lenovo IdeaPad L3 A41TUN AMD Athlon 300U 4GB DDR 120GB SSD AMD Radeon Vega 3 FHD DOS черный,"



        Тип: ноутбук; Операционная система: DOS; Процессор: AMD Athlon 300U; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: AMD Radeon Vega 3; Объем оперативной памяти: 4 GB DDR4; Объем накопителя SSD: 120 GB; Вес: от 2.8 кг            ",30890 сом,https://www.kivano.kg/images/product/100216/1636699132_56785000.png
Ноутбук Lenovo IP3 Gaming 15IHU6 Intel Core i5-11300H 16GB DDR4 1000GB HDD + 256GB SSD NVIDIA RTX3050 FHD DOS Shadow Black,"



        Операционная система DOS; процессор Intel Core i5-11300H (4/8) 3100-4400 MHz; оперативная память 16 GB DDR4; накопитель 1000 GB HDD + 256 GB SSD; экран 15.6"" IPS 1920x1080; видеоадаптер NVIDIA RTX...            ",84800 сом,https://www.kivano.kg/images/product/106616/1652860846_74119500.jpg
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i3-1005G1 12GB DDR 1000GB HDD + 256GB SSD Intel HD Graphics 620 FHD синий,"



        Тип: ноутбук; Процессор: Intel Core i3-1005G1; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Intel HD Graphics 620; Объем оперативной памяти: 12 Gb DDR; Объем накопителя HDD: 1000 Gb; Объем накопителя SSD: 256 Gb; Вес: от 1.8 кг            ",51410 сом,https://www.kivano.kg/images/product/88185/1620930773_87607100.png
Ноутбук Lenovo IdeaPad L3 A41TUN AMD Athlon 300U 4GB DDR 240GB SSD AMD Radeon Vega 3 FHD DOS черный,"



        Тип: ноутбук; Операционная система: DOS; Процессор: AMD Athlon 300U; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: AMD Radeon Vega 3; Объем оперативной памяти: 4 GB DDR4; Объем накопителя SSD: 240 GB; Вес: от 2.8 кг            ",31590 сом,https://www.kivano.kg/images/product/100217/1636699220_37062000.png
Ноутбук Lenovo Ideapad L3-15ITL6 Intel Core i3-1115G4 20GB DDR4 1000GB HDD + 128GB SSD FHD DOS Platinum Gray,"



        Операционная система DOS; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 20 GB DDR4; накопитель 1000 GB HDD + 128 GB SSD; экран 15.6"" IPS 1920x1080; видеоадаптер Intel Graphics            ",49570 сом,https://www.kivano.kg/images/product/105849/1651064060_49857700.jpg
Ноутбук Lenovo IP3 Gaming 15IHU6 Intel Core i5-11300H 16GB DDR4 1000GB HDD + 512GB SSD NVIDIA RTX3050 FHD DOS Shadow Black,"



        Операционная система DOS; процессор Intel Core i5-11300H (4/8) 3100-4400 MHz; оперативная память 16 GB DDR4; накопитель 1000 GB HDD + 512 GB SSD; экран 15.6"" IPS 1920x1080; видеоадаптер NVIDIA RTX...            ",86890 сом,https://www.kivano.kg/images/product/106617/1652860857_05227900.jpg
Ноутбук Lenovo V15 IML Intel Core i3-10110U 4GB DDR4 1000GB HDD DOS Gray,"



        Операционная система DOS; процессор Intel Core i3-10110U (2/4) 2100-4100 MHz; оперативная память 4GB DDR4; накопитель 1000GB HDD; экран 15.6"" TN 1366x768; видеоадаптер Intel Graphics            ",33350 сом,https://www.kivano.kg/images/product/108665/1657783271_82783000.jpg
Ноутбук Lenovo Ideapad S340-15IIL Intel Core i3-1005G1 12GB DDR 1000GB HDD + 512GB SSD Intel HD Graphics 620 FHD синий,"



        Тип: ноутбук; Процессор: Intel Core i3-1005G1; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Intel HD Graphics 620; Объем оперативной памяти: 12 Gb DDR; Объем накопителя HDD: 1000 Gb; Объем накопителя SSD: 512 Gb; Вес: от 1.8 кг            ",55350 сом,https://www.kivano.kg/images/product/88186/1620930704_95918300.png
Ноутбук Lenovo Ideapad L3-15ITL6 Intel Core i3-1115G4 20GB DDR4 1000GB HDD + 256GB SSD FHD DOS Platinum Gray,"



        Операционная система DOS; процессор Intel Core i3-1115G4 (2/4) 3000-4100 MHz; оперативная память 20 GB DDR4; накопитель 1000 GB HDD + 256 GB SSD; экран 15.6"" IPS 1920x1080; видеоадаптер Intel Graphics            ",50630 сом,https://www.kivano.kg/images/product/105850/1651064076_69078200.jpg
Ноутбук Lenovo IP3 Gaming 15IHU6 Intel Core i5-11300H 24GB DDR4 1000GB HDD + 128GB SSD NVIDIA RTX3050 FHD DOS Shadow Black,"



        Операционная система DOS; процессор Intel Core i5-11300H (4/8) 3100-4400 MHz; оперативная память 24 GB DDR4; накопитель 1000 GB HDD + 128 GB SSD; экран 15.6"" IPS 1920x1080; видеоадаптер NVIDIA RTX...            ",86890 сом,https://www.kivano.kg/images/product/106618/1652860868_70142700.jpg
Ноутбук Lenovo V15 IML Intel Core i3-10110U 4GB DDR4 256GB SSD DOS Gray,"



        Операционная система DOS; процессор Intel Core i3-10110U (2/4) 2100-4100 MHz; оперативная память 4GB DDR4; накопитель 256GB SSD; экран 15.6"" TN 1366x768; видеоадаптер Intel Graphics            ",33000 сом,https://www.kivano.kg/images/product/108666/1657783284_70428100.jpg
Ноутбук Asus X540UB-DM538 Intel Core i3-7020U 4GB DDR4 500GB HDD NVIDIA MX110 FHD DOS Black,"



        Операционная система DOS; 2х-ядерный процессор; частота 2.3 ГГц; экран 15.6"" TN; видеоадаптер дискретный; оперативная память 4 Гб; накопитель HDD 500 Гб; вес от 1.9 кг            ",37480 сом,https://www.kivano.kg/images/product/82811/1597448337_28857000.jpg
Ноутбук Lenovo IP3 Gaming 15IHU6 Intel Core i5-11300H 24GB DDR4 1000GB HDD + 256GB SSD NVIDIA RTX3050 FHD DOS Shadow Black,"



        Операционная система DOS; процессор Intel Core i5-11300H (4/8) 3100-4400 MHz; оперативная память 24 GB DDR4; накопитель 1000 GB HDD + 256 GB SSD; экран 15.6"" IPS 1920x1080; видеоадаптер NVIDIA RTX...            ",87770 сом,https://www.kivano.kg/images/product/106619/1652860879_32402500.jpg
Ноутбук Lenovo ideapad V15-IIL Intel Core i5-1035G1 20GB DDR 256GB SSD Intel HD Graphics FHD DOS серый,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-1035G1; Разрешение экрана: 1920 x 1080 Full HD; Графический контроллер: Intel HD Graphics 620; Объем оперативной памяти: 20 GB; Объем накопителя SSD: 256 GB; Вес: от 1.8 кг            ",61750 сом,https://www.kivano.kg/images/product/108411/1657099550_81846100.png
Ноутбук Lenovo V15 IML Intel Core i3-10110U 8GB DDR4 256GB SSD DOS Gray,"



        Операционная система DOS; процессор Intel Core i3-10110U (2/4) 2100-4100 MHz; оперативная память 8GB DDR4; накопитель 256GB SSD; экран 15.6"" TN 1366x768; видеоадаптер Intel Graphics            ",34400 сом,https://www.kivano.kg/images/product/108667/1657783301_79327400.jpg
